;age;campaign;pdays;previous;emp.var.rate;cons.price.idx;cons.conf.idx;nr.employed;job_blue-collar;job_entrepreneur;job_housemaid;job_management;job_retired;job_self-employed;job_services;job_student;job_technician;job_unemployed;job_unknown;marital_married;marital_single;marital_unknown;education_basic.6y;education_basic.9y;education_high.school;education_illiterate;education_professional.course;education_university.degree;education_unknown;default_unknown;default_yes;housing_unknown;housing_yes;loan_unknown;loan_yes;contact_telephone;month_aug;month_dec;month_jul;month_jun;month_mar;month_may;month_nov;month_oct;month_sep;day_of_week_mon;day_of_week_thu;day_of_week_tue;day_of_week_wed;poutcome_nonexistent;poutcome_success;y_yes
0;-1.0039482657954404;-0.04074096351729746;999;-0.36043355291446605;-1.1864782376038336;-1.1692121354852625;-1.225351489317431;-0.9085830416586212;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
1;-0.07839333884927657;1.5257490837227896;999;-0.36043355291446605;0.667295297559694;0.7362178643591442;0.9041588679788838;0.34597694390186085;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
2;-1.5181454474321983;-0.823985987137341;999;-0.36043355291446605;0.8590649736110932;1.5513473193334508;-0.2692447982864317;0.852442400531834;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0
3;-0.1812327751766281;0.742504060102746;999;-0.36043355291446605;0.8590649736110932;1.5513473193334508;-0.2692447982864317;0.852442400531834;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
4;0.7443221517695358;-0.823985987137341;999;-0.36043355291446605;-0.0997834066459037;-0.6379069493342571;-0.3127041933332959;0.4115034719833687;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
5;-0.7982693931407374;0.742504060102746;999;3.395303604148195;-0.7390156601505684;1.0909982003882952;0.665132195221134;-2.7583423239594484;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
6;-0.7982693931407374;1.5257490837227896;999;-0.36043355291446605;-0.7390156601505684;1.0909982003882952;0.665132195221134;-2.7583423239594484;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
7;0.12728553380542654;-0.04074096351729746;999;-0.36043355291446605;-0.0997834066459037;-0.6379069493342571;-0.3127041933332959;0.4115034719833687;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
8;-0.9011088294680889;-0.823985987137341;999;1.5174350256168645;-0.0997834066459037;-0.6379069493342571;-0.3127041933332959;0.4115034719833687;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
9;-0.48975108415868274;-0.823985987137341;999;-0.36043355291446605;0.667295297559694;0.7362178643591442;0.9041588679788838;0.34597694390186085;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0
10;-1.5181454474321983;-0.823985987137341;999;-0.36043355291446605;0.8590649736110932;0.6046895446605177;-0.46481207599731894;0.852442400531834;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
11;-0.3869116478313312;-0.823985987137341;999;-0.36043355291446605;0.8590649736110932;0.6046895446605177;-0.46481207599731894;0.852442400531834;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
12;-0.3869116478313312;-0.04074096351729746;999;-0.36043355291446605;0.667295297559694;0.7362178643591442;0.9041588679788838;0.34597694390186085;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0
13;0.7443221517695358;-0.04074096351729746;999;-0.36043355291446605;0.8590649736110932;1.5513473193334508;-0.2692447982864317;0.852442400531834;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
14;-1.106787702122792;-0.04074096351729746;999;-0.36043355291446605;-1.1864782376038336;-1.1692121354852625;-1.225351489317431;-0.9085830416586212;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
15;-1.312466574777495;-0.04074096351729746;999;-0.36043355291446605;0.8590649736110932;0.6046895446605177;-0.46481207599731894;0.852442400531834;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
16;0.4358038427874812;3.0922391309628767;999;-0.36043355291446605;0.8590649736110932;0.6046895446605177;-0.46481207599731894;0.852442400531834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
17;0.6414827154421843;1.5257490837227896;999;-0.36043355291446605;0.8590649736110932;0.6046895446605177;-0.46481207599731894;0.852442400531834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
18;0.5386432791148327;-0.04074096351729746;999;-0.36043355291446605;0.8590649736110932;-0.2156318176702887;0.9693479605491785;0.852442400531834;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
